long_from,lat_from,long_to,lat_to
-102.0077097,23.6585116,-100.445882,39.7837304
-102.0077097,23.6585116,8.2319736,46.7985624
-102.0077097,23.6585116,-72.9088133,4.099917
-102.0077097,23.6585116,5.6343227,52.2434979
-102.0077097,23.6585116,103.8194992,1.357107
-102.0077097,23.6585116,31.2718321,49.4871968
-102.0077097,23.6585116,-3.2765753,54.7023545
-102.0077097,23.6585116,-107.991707,61.0666922
-102.0077097,23.6585116,15.472962,49.817492
-102.0077097,23.6585116,23.7499997,55.3500003
-102.0077097,23.6585116,139.2394179,36.5748441
-102.0077097,23.6585116,25.4856617,42.6073975
-102.0077097,23.6585116,19.134422,52.215933
-102.0077097,23.6585116,-4.8379791,39.3260685
-102.0077097,23.6585116,34.8594762,30.8124247
-102.0077097,23.6585116,15.6575209,45.3658443
-102.0077097,23.6585116,14.8153333,46.1199444
-102.0077097,23.6585116,5.6343227,52.2434979
-102.0077097,23.6585116,10.4478313,51.1638175
-102.0077097,23.6585116,127.6961188,36.638392
-102.0077097,23.6585116,12.674297,42.6384261
-102.0077097,23.6585116,14.12456,47.59397
-102.0077097,23.6585116,1.8883335,46.603354
