Nombre de Evento	Organizador	Categoria	Asistentes	Año
Secundaria Tecnica Pesquera	CCM	Visitas a Escuelas	250	2016-2017
Instituto Jefferson	CCM	Visitas a Escuelas	112	2016-2017
Ciclo de Cine Comentado: la ciencia en el septimo arte		Ferias y Eventos		2017-2018
Fiesta de las Ciencias y las Humanidades		Ferias y Eventos		2017-2018
Semana Nacional de Ciencia y Tecnologia		Ferias y Eventos		2017-2018
La Noche de las Estrellas		Ferias y Eventos		2017-2018
Dia de Pi	UNAM-Morelia	Ferias y Eventos		2017-2018
Feria Matematica de Morelia		Ferias y Eventos		2017-2018
XXVII Tianguis de las Ciencias de la UMSNH		Ferias y Eventos		2017-2018
8va Feria Infantil de ciencias y Artes		Ferias y Eventos		2017-2018
UNAM en la Tenencia Morelo	CCM-IRyA	Visitas a Escuelas	100	2017-2018
Coloquio CCM y Posgrado Conjunto	UNAM-UMSNH	Ferias y Eventos		2017-2018
School of Algebraic Geometry		Ferias y Eventos		2017-2018
Software Tools fo rMathematics		Ferias y Eventos		2017-2018
Taller propedeutico de ingreso al posgrado conjunto en ciencias matematicas	UNAM-UMSNH	Taller		2017-2018
Segundo encuentro de dinamica		Ferias y Eventos		2017-2018
Workshop in Symmertries in graphs, maps and plytopes	SIGMAP	Ferias y Eventos		2017-2018
XVIII Escuela de Verano en Matematica		Ferias y Eventos		2017-2018
Mathematical and conceptual aspects of quantum theory		Ferias y Eventos		2017-2018
Tercer Encuentro Nacional de Estudiantes d ePosgrado en Matematicas		Ferias y Eventos		2017-2018
Feria Matematica de Morelia	CCM	Ferias y Eventos	2422	2019-2020
Dia de Pi	UNAM-Morelia	Ferias y Eventos		2019-2020
Matematicas a Domicilio		Ferias y Eventos		2019-2020
Ciclo de Cine Comentado: la ciencia en el septimo arte	UNAM-UMSNH	Ferias y Eventos	346	2019-2020
Fiesta de las Ciencias y las Humanidades		Ferias y Eventos	5236	2019-2020
Noche de las Estrellas		Ferias y Eventos	4800	2019-2020
Rally Geohistorico	CIGA UNAM	Ferias y Eventos		2019-2020
Primaria Hermanos Serdan		Visitas Guiadas	35	2019-2020
Primaria Hermanos Serdan		Visitas Guiadas	36	2019-2020
Colegio de Bachilleres plantel San Juan de Viña		Visitas Guiadas	40	2019-2020
Primaria Hermanos Serdan		Visitas Guiadas	33	2019-2020
Escuela Secundaria Tecnica No. 65 de Uruapan		Visitas Guiadas	65	2019-2020
Primaria Hermanos Serdan.		Visitas Guiadas	32	2019-2020
Primaria Hermanos Serdan.		Visitas Guiadas	37	2019-2020
Escuela Secundaria Tecnica No. 65 de Uruapa		Visitas Guiadas	46	2019-2020
Primaria Hermanos Serdan.		Visitas Guiadas	26	2019-2020
Escuela Secundaria Tecnica de Uruapan		Visitas Guiadas	38	2019-2020
Centro Universitario de Los Altos de Guadalajara.		Visitas Guiadas	45	2019-2020
La UNAM en la Tenencia Morelos	CCM-IRyA	Ferias y Eventos	106	2019-2020
Ciclo de Cine Comentado: la ciencia en el septimo arte	CCM IRyA UMSNH	Ferias y Eventos	96	2020-2021
Dias d epuertas abiertas del Posgrado Conjunto en Ciencias Matematicas	CCM	Ferias y Eventos		2020-2021
Escuela de Matematics de AMerica Latina y el Caribe	IMATE Cuernavaca	Ferias y Eventos		2020-2021
Webinar de difusion del PCCM UNAM-UMSNH	Posgrado Conjunto en Ciencias MAtematicas	Ferias y Eventos		2020-2021
Ciclo de conferencias matematicas	Centro REgional de Educacion Normal de Arteaga y Normal SUperior Michoacan	Ferias y Eventos		2020-2021
Fiesta de las Ciencias y las Humanidades	CCM DGDC UNAM	Ferias y Eventos		2020-2021
Noche de las Estrellas	UNAM	Ferias y Eventos		2020-2021
Ciclo de Cine Conversado	CCM	Ferias y Eventos	33	2020-2021
Conversatorio en conmemoracion del 8 de marzo	CCM	Ferias y Eventos		2020-2021
Dia de Puertas Abiertas del Posgrodo Conjunto de Ciencias MAtematicas UNAM-UMSNH	CCM	Ferias y Eventos		2020-2021
Dia Internacional de la Mujer en la Matematica	Instituto de Matematicas-UNAM	Ferias y Eventos	1022	2020-2021
Dia Internacional de los Matematicos en Mexico	Instituto de Matematicas-UNAM CCM	Ferias y Eventos	346	2020-2021
Festejo por el dia Internacional de las Matematicas	Instituto de Matematicas-UNAM CCM	Ferias y Eventos	5548	2020-2021
X Feria Infantil de Ciencias y Artes	CCM	Ferias y Eventos		2020-2021
XX Escuela de Matematicas	CCM	Ferias y Eventos		2020-2021
